Layer,Boundary,Protocol,Latency_ms
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.0159950256347656
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.30682945251465
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.09610366821289
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.0438899993896484
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.192995071411133
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,188.6777877807617
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.312753677368164
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.4088153839111328
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.220008850097656
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.49501419067383
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.7801265716552734
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.9290447235107424
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.28826904296875
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.94562530517575
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.3087730407714844
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.10428237915039
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.353595733642578
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.95897674560547
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.236387252807617
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.495050430297852
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.382537841796875
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,186.9502067565918
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.319263458251953
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.415180206298828
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.99072265625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.2670135498047
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.8344860076904297
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.4591217041015625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.706621170043945
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.0906562805176
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.140687942504883
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.5815963745117188
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.2265186309814453
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.07913970947263
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.272222518920898
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.438140869140625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.952503204345703
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.34957885742188
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.208803176879883
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.5492439270019531
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.7021636962890634
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.65117835998532
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.816604614257813
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.9655227661132808
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.177165985107422
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.3130283355713
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.849433898925781
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.591371536254883
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.949808120727539
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.19959259033203
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.179000854492188
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.7077922821044922
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.8809776306152335
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.4606819152832
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.955768585205078
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.747774124145508
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.118846893310547
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.15405464172363
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.13458251953125
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.5947093963623047
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.981040954589844
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.33716011047363
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.99580192565918
