Boundary,Protocol,Time_Bin_Start_Sec,Bytes,Packets,Bytes_per_Sec,Packets_per_Sec
Ignition SCADA <-> Middleware (OPC UA),OPC UA,296.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,297.0,1293,6,1293.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,298.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,299.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,300.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,301.0,461,3,461.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,302.0,1095,6,1095.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,303.0,915,6,915.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,304.0,1285,10,1285.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,305.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,306.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,307.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,308.0,1148,6,1148.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,309.0,969,6,969.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,310.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,311.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,312.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,313.0,570,3,570.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,314.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,315.0,915,6,915.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,316.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,317.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,318.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,319.0,814,7,814.0,7.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,320.0,1148,6,1148.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,321.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,322.0,1023,6,1023.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,323.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,324.0,1122,6,1122.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,325.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,326.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,327.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,328.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,329.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,330.0,1013,6,1013.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,331.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,332.0,1121,6,1121.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,333.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,334.0,1349,10,1349.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,335.0,1014,6,1014.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,336.0,1013,6,1013.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,337.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,338.0,488,3,488.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,339.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,340.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,341.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,342.0,1148,6,1148.0,6.0
