Boundary,Protocol,Src_IP,Dst_IP,RTT_ms
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.65083122253418
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.616022109985352
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.5490989685058594
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.5071372985839844
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,158.13255310058594
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.503488540649414
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.8607120513916016
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.41288948059082
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.232095718383789
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.663705825805664
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.518674850463867
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.621028900146484
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.028009414672852
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,48.03204536437988
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.653453826904297
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.650354385375977
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,879.0783882141113
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,77.94451713562012
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,64.71753120422363
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,62.154531478881836
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.5583763122558594
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.6525726318359375
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.2770633697509766
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.683256149291992
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.244970321655273
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.594087600708008
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.229711532592773
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.921031951904297
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.331111907958984
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.642963409423828
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.592418670654297
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,2.6772022247314453
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.524707794189453
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.056858062744141
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.538536071777344
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.585027694702148
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.598140716552734
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.748821258544922
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.767417907714844
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.845142364501953
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.446744918823242
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,45.44663429260254
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,40.95292091369629
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,2.3949146270751953
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.539966583251953
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.775047302246094
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.040407180786133
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.779815673828125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.656553268432617
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.769802093505859
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.82940673828125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.927635192871094
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.597902297973633
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,737.3487949371338
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.626989364624023
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.408597946166992
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.810094833374023
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.9724578857421875
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.563093185424805
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.945278167724609
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.597902297973633
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.379510879516602
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.58979606628418
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.161762237548828
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,176.60140991210938
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,47.79481887817383
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.0007152557373046875
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,59.55028533935547
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.493402481079102
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.5715103149414062
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.876852035522461
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.697561264038086
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.718780517578125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.747629165649414
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.239559173583984
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.48155403137207
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.9343109130859375
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.603385925292969
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.576133728027344
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.614353179931641
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.87971305847168
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.533052444458008
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.281925201416016
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.774332046508789
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.039691925048828
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.495382308959961
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.208492279052734
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.643440246582031
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,30.863523483276367
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,29.996633529663086
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,53.99274826049805
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.924535751342773
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.655599594116211
