Communication Boundary,Protocol,Sample Size (N),Mean (ms),Std Dev (ms),Min (ms),Max (ms),P95 (ms),P99 (ms)
Ignition SCADA <-> Middleware (OPC UA),OPC UA,2201,262.1327373776746,286.6864061336219,0.43082237243652344,998.1553554534912,537.0011329650879,984.8678112030029
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,21217,28.25437176658514,110.20745535684911,0.4298686981201172,600.8367538452148,17.320871353164218,506.8016815185547
Middleware <-> S7-1200 (OPC UA),OPC UA,1668,200.70777522574227,346.0739401945706,0.9796619415283203,1000.0665187835693,988.9590859413147,995.0599360466003
Middleware <-> TM221 (Modbus TCP),Modbus TCP,6602,90.81680935030813,199.58062828110405,0.11706352233886719,556.6995143890381,542.2800421714783,546.9181251525879
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,78285,7.51445237845763,7.226271971424456,0.10824203491210938,138.60249519348145,11.48667335510254,40.011100769043004
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,11996,50.01019469576305,80.73922629349507,0.2009868621826172,219.95043754577637,191.06847047805786,192.78178215026855
