device,protocol,sample_index,latency_ms
RPi Middleware<->SCADA,OPC UA,105,4.907899998215726
RPi Middleware<->SCADA,OPC UA,106,4.903599998215213
RPi Middleware<->SCADA,OPC UA,107,4.789500002516434
RPi Middleware<->SCADA,OPC UA,108,4.956699998729164
RPi Middleware<->SCADA,OPC UA,109,4.807000001164852
RPi Middleware<->SCADA,OPC UA,110,5.043799999839393
RPi Middleware<->SCADA,OPC UA,111,5.017199997382704
RPi Middleware<->SCADA,OPC UA,112,6.9198999990476295
RPi Middleware<->SCADA,OPC UA,113,5.480300002091099
RPi Middleware<->SCADA,OPC UA,114,4.760999996506143
RPi Middleware<->SCADA,OPC UA,115,4.81470000158879
RPi Middleware<->SCADA,OPC UA,116,4.890299998805858
RPi Middleware<->SCADA,OPC UA,117,4.873800000495976
RPi Middleware<->SCADA,OPC UA,118,5.083900003228337
RPi Middleware<->SCADA,OPC UA,119,4.793899999640416
RPi Middleware<->SCADA,OPC UA,120,4.908499999146443
RPi Middleware<->SCADA,OPC UA,121,4.8443000014231075
RPi Middleware<->SCADA,OPC UA,122,5.149000000528758
RPi Middleware<->SCADA,OPC UA,123,5.024300000513904
RPi Middleware<->SCADA,OPC UA,124,4.939200000080746
RPi Middleware<->SCADA,OPC UA,125,4.951099999743747
RPi Middleware<->SCADA,OPC UA,126,5.207900001551025
RPi Middleware<->SCADA,OPC UA,127,4.976800002623349
RPi Middleware<->SCADA,OPC UA,128,4.941600000165636
RPi Middleware<->SCADA,OPC UA,129,4.858700001932448
RPi Middleware<->SCADA,OPC UA,130,4.853500002354849
RPi Middleware<->SCADA,OPC UA,131,4.829800000152318
RPi Middleware<->SCADA,OPC UA,132,4.961300001014024
RPi Middleware<->SCADA,OPC UA,133,4.864000002271496
RPi Middleware<->SCADA,OPC UA,134,4.958800000167685
RPi Middleware<->SCADA,OPC UA,135,4.909200000838609
RPi Middleware<->SCADA,OPC UA,136,5.8499000006122515
RPi Middleware<->SCADA,OPC UA,137,4.8720999984652735
RPi Middleware<->SCADA,OPC UA,138,4.975100000592647
RPi Middleware<->SCADA,OPC UA,139,4.924900000332855
RPi Middleware<->SCADA,OPC UA,140,5.044000001362292
RPi Middleware<->SCADA,OPC UA,141,4.976500000339001
RPi Middleware<->SCADA,OPC UA,142,4.985200001101475
RPi Middleware<->SCADA,OPC UA,143,4.863500002102228
RPi Middleware<->SCADA,OPC UA,144,4.937500001688022
RPi Middleware<->SCADA,OPC UA,145,4.87040000007255
RPi Middleware<->SCADA,OPC UA,146,4.938699999911478
RPi Middleware<->SCADA,OPC UA,147,4.927900001348462
RPi Middleware<->SCADA,OPC UA,148,4.9266999994870275
RPi Middleware<->SCADA,OPC UA,149,4.857200001424644
RPi Middleware<->SCADA,OPC UA,150,5.054400000517489
RPi Middleware<->SCADA,OPC UA,151,5.39779999962775
RPi Middleware<->SCADA,OPC UA,152,5.464500001835404
RPi Middleware<->SCADA,OPC UA,153,6.237100002181251
RPi Middleware<->SCADA,OPC UA,154,5.121600002894411
RPi Middleware<->SCADA,OPC UA,155,4.953800002112985
RPi Middleware<->SCADA,OPC UA,156,5.069399998319568
RPi Middleware<->SCADA,OPC UA,157,4.9760000001697335
RPi Middleware<->SCADA,OPC UA,158,4.977900000085356
RPi Middleware<->SCADA,OPC UA,159,5.062600001110695
RPi Middleware<->SCADA,OPC UA,160,5.036300000938354
RPi Middleware<->SCADA,OPC UA,161,4.8773999988043215
RPi Middleware<->SCADA,OPC UA,162,5.819199999677949
RPi Middleware<->SCADA,OPC UA,163,5.1428999977360945
RPi Middleware<->SCADA,OPC UA,164,5.20650000180467
RPi Middleware<->SCADA,OPC UA,165,5.311500000971137
RPi Middleware<->SCADA,OPC UA,166,5.575900002440903
RPi Middleware<->SCADA,OPC UA,167,5.649099999573082
RPi Middleware<->SCADA,OPC UA,168,5.0249999985680915
RPi Middleware<->SCADA,OPC UA,169,5.065299999841955
RPi Middleware<->SCADA,OPC UA,170,5.121700000017881
RPi Middleware<->SCADA,OPC UA,171,6.188999999722
RPi Middleware<->SCADA,OPC UA,172,5.262999999104068
RPi Middleware<->SCADA,OPC UA,173,5.177499999263091
RPi Middleware<->SCADA,OPC UA,174,5.265799998596776
RPi Middleware<->SCADA,OPC UA,175,5.150199998752214
RPi Middleware<->SCADA,OPC UA,176,5.345000001398148
RPi Middleware<->SCADA,OPC UA,177,24.747400002524955
RPi Middleware<->SCADA,OPC UA,178,5.319800002325792
RPi Middleware<->SCADA,OPC UA,179,5.003099999157712
RPi Middleware<->SCADA,OPC UA,180,5.1318000005267095
RPi Middleware<->SCADA,OPC UA,181,5.340499999874737
RPi Middleware<->SCADA,OPC UA,182,6.311900000582682
RPi Middleware<->SCADA,OPC UA,183,4.928099999233382
RPi Middleware<->SCADA,OPC UA,184,5.1753000007011
RPi Middleware<->SCADA,OPC UA,185,4.874199999903794
RPi Middleware<->SCADA,OPC UA,186,5.008700001781108
RPi Middleware<->SCADA,OPC UA,187,4.9816999999166
RPi Middleware<->SCADA,OPC UA,188,7.8675000004295725
RPi Middleware<->SCADA,OPC UA,189,4.840800000238232
RPi Middleware<->SCADA,OPC UA,190,4.643600001145387
RPi Middleware<->SCADA,OPC UA,191,6.186200000229292
RPi Middleware<->SCADA,OPC UA,192,5.51140000243322
RPi Middleware<->SCADA,OPC UA,193,6.6817000006267335
RPi Middleware<->SCADA,OPC UA,194,10.45969999904628
RPi Middleware<->SCADA,OPC UA,195,5.102099999930942
RPi Middleware<->SCADA,OPC UA,196,4.992000001948327
RPi Middleware<->SCADA,OPC UA,197,4.893700002867263
RPi Middleware<->SCADA,OPC UA,198,5.100400001538219
RPi Middleware<->SCADA,OPC UA,199,4.916799996863119
RPi Middleware<->SCADA,OPC UA,200,5.038100000092527
RPi Middleware<->SCADA,OPC UA,201,4.892699998890748
RPi Middleware<->SCADA,OPC UA,202,4.9772999991546385
RPi Middleware<->SCADA,OPC UA,203,4.951800001435913
RPi Middleware<->SCADA,OPC UA,204,5.002799996873364
RPi Middleware<->SCADA,OPC UA,205,4.922399999486515
RPi Middleware<->SCADA,OPC UA,206,5.019399999582674
RPi Middleware<->SCADA,OPC UA,207,5.000299999665003
RPi Middleware<->SCADA,OPC UA,208,5.641899999318412
RPi Middleware<->SCADA,OPC UA,209,5.442100002255756
RPi Middleware<->SCADA,OPC UA,210,5.6863999998313375
RPi Middleware<->SCADA,OPC UA,211,5.00839999949676
RPi Middleware<->SCADA,OPC UA,212,5.000299999665003
RPi Middleware<->SCADA,OPC UA,213,5.024599999160273
RPi Middleware<->SCADA,OPC UA,214,4.996600000595208
RPi Middleware<->SCADA,OPC UA,215,4.91860000329325
RPi Middleware<->SCADA,OPC UA,216,4.860900000494439
RPi Middleware<->SCADA,OPC UA,217,4.919799997878727
RPi Middleware<->SCADA,OPC UA,218,4.943100000673439
RPi Middleware<->SCADA,OPC UA,219,4.7994999986258335
RPi Middleware<->SCADA,OPC UA,220,4.906400001345901
RPi Middleware<->SCADA,OPC UA,221,4.809300000488292
RPi Middleware<->SCADA,OPC UA,222,4.869100001087645
RPi Middleware<->SCADA,OPC UA,223,4.8826999991433695
RPi Middleware<->SCADA,OPC UA,224,4.973099999915576
RPi Middleware<->SCADA,OPC UA,225,4.869600001256913
RPi Middleware<->SCADA,OPC UA,226,5.013099998905091
RPi Middleware<->SCADA,OPC UA,227,5.135399998835055
RPi Middleware<->SCADA,OPC UA,228,4.941800001688534
RPi Middleware<->SCADA,OPC UA,229,4.901600001176121
RPi Middleware<->SCADA,OPC UA,230,5.602100001851795
RPi Middleware<->SCADA,OPC UA,231,4.835800002183532
RPi Middleware<->SCADA,OPC UA,232,4.977399999916088
RPi Middleware<->SCADA,OPC UA,233,4.91390000024694
RPi Middleware<->SCADA,OPC UA,234,4.827000000659609
RPi Middleware<->SCADA,OPC UA,235,4.8667999981262255
RPi Middleware<->SCADA,OPC UA,236,4.981000001862412
RPi Middleware<->SCADA,OPC UA,237,5.034200003137812
RPi Middleware<->SCADA,OPC UA,238,5.80919999993057
RPi Middleware<->SCADA,OPC UA,239,4.979900000762427
RPi Middleware<->SCADA,OPC UA,240,4.858700001932448
RPi Middleware<->SCADA,OPC UA,241,5.011699999158736
RPi Middleware<->SCADA,OPC UA,242,4.978400000254624
RPi Middleware<->SCADA,OPC UA,243,4.886200000328245
RPi Middleware<->SCADA,OPC UA,244,4.87280000015744
RPi Middleware<->SCADA,OPC UA,245,4.874399997788714
RPi Middleware<->SCADA,OPC UA,246,5.014599999412894
RPi Middleware<->SCADA,OPC UA,247,4.848399999900721
RPi Middleware<->SCADA,OPC UA,248,4.964300002029631
RPi Middleware<->SCADA,OPC UA,249,4.807899997103959
RPi Middleware<->SCADA,OPC UA,250,4.890600001090206
RPi Middleware<->SCADA,OPC UA,251,4.884699999820441
RPi Middleware<->SCADA,OPC UA,252,5.07139999899664
RPi Middleware<->SCADA,OPC UA,253,4.845799998292932
RPi Middleware<->SCADA,OPC UA,254,4.998899999918649
RPi Middleware<->SCADA,OPC UA,255,4.823999999644002
RPi Middleware<->SCADA,OPC UA,256,4.916800000501098
RPi Middleware<->SCADA,OPC UA,257,4.998100001103012
RPi Middleware<->SCADA,OPC UA,258,4.971400001522852
RPi Middleware<->SCADA,OPC UA,259,4.895299996860558
RPi Middleware<->SCADA,OPC UA,260,4.983899998478591
RPi Middleware<->SCADA,OPC UA,261,4.799399997864384
RPi Middleware<->SCADA,OPC UA,262,4.999699998734286
RPi Middleware<->SCADA,OPC UA,263,4.862400001002243
RPi Middleware<->SCADA,OPC UA,264,4.949699999997392
RPi Middleware<->SCADA,OPC UA,265,4.89459999880637
RPi Middleware<->SCADA,OPC UA,266,4.952300001605181
RPi Middleware<->SCADA,OPC UA,267,4.888999999820953
RPi Middleware<->SCADA,OPC UA,268,4.9479000008432195
RPi Middleware<->SCADA,OPC UA,269,4.797199999302393
RPi Middleware<->SCADA,OPC UA,270,4.968400000507245
