Communication Boundary,Protocol,Sample Size (N),Mean (ms),Std Dev (ms),Min (ms),Max (ms),P95 (ms),P99 (ms)
Ignition SCADA -> Middleware (OPC UA),OPC UA,440,8.615911548787897,44.39515154367507,0.0002384185791015625,679.9764633178711,48.17575216293335,182.4409151077271
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,3960,4.465636099227751,0.7794325077459506,0.00095367431640625,8.996963500976562,5.2941203117370605,5.699224472045898
Middleware -> S7-1200 (OPC UA),OPC UA,613,110.23825338964167,188.61989138841614,0.0007152557373046875,992.0878410339355,617.1871662139893,893.2446384429932
