,Communication Boundary,Count,Min (ms),Median / P50 (ms),P95 Threshold (ms),P99 Threshold (ms),Max (ms),Std Dev
0,Middleware <-> TM221 (Modbus TCP),500,1.6422389999206644,1.9883334999803994,2.297421200012195,2.710795559796679,3.6114060001182224,0.19334608025445463
1,TM221 <-> Micro820 (Modbus TCP),11996,0.2009868621826172,3.8923025131225586,191.0684704780579,192.78178215026855,219.9504375457764,80.73922629349507
2,SCADA <--> Middleware,500,4.643600001145387,4.965149999407004,6.084139997801682,13.804695000107962,24.747400002524955,1.9070178276375522
3,Middleware <-> Micro820 (EtherNet/IP),500,2.985468999895602,5.934322999905817,6.433072799904948,6.8104972500077565,12.986615000045276,0.6342617789826543
4,S7-1200 <-> Micro820 (Modbus TCP),78285,0.1082420349121093,6.320476531982422,11.48667335510254,40.011100769043004,138.60249519348145,7.226271971424457
5,Middleware <-> S7-1200 (OPC UA),500,46.79791700004898,59.93890649995137,104.8474008999733,122.13037518987672,164.1198440001972,18.52969009156012
