Layer,Boundary,Protocol,N,Mean (ms),Std Dev (ms),Min (ms),Max (ms),P95 (ms),P99 (ms)
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,78285,7.51445237845763,7.226271971424457,0.1082420349121093,138.60249519348145,11.48667335510254,40.011100769043004
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,11996,50.01019469576305,80.73922629349507,0.2009868621826172,219.9504375457764,191.0684704780579,192.78178215026855
Middleware <-> PLC,Allen-Bradley Micro820,EtherNet/IP,500,5.898602719996234,0.6342617789826543,2.985468999895602,12.986615000045276,6.433072799904948,6.8104972500077565
Middleware <-> PLC,Schneider TM221,Modbus TCP,500,2.019916429998375,0.19334608025445463,1.6422389999206644,3.6114060001182224,2.297421200012195,2.710795559796679
Middleware <-> PLC,Siemens S7-1200,OPC UA,500,66.42562904599707,18.52969009156012,46.79791700004898,164.1198440001972,104.8474008999733,122.13037518987672
SCADA <-> Middleware,RPi Middleware<->SCADA,OPC UA,500,5.298558800008323,1.9070178276375522,4.643600001145387,24.747400002524955,6.084139997801682,13.804695000107962
